000000,COPAS BLACK COUPAGE,"0,00"
0000000,LIBRO DE RESERVAS DIST. GALLEGO,"0,00"
056350,COPA LA PELIRROJA (6U),"0,00"
100011,AGUA 19 L. (BOTELLON),"12,64"
100014,AGUA GARRAFA 5L,"0,80"
100015,BOTELLON 20L. AQUASERVICE,"18,93"
100016,VASOS PAPEL (50),"3,50"
100101,MAHOU 1/3 RET,"25,81"
100106,ALQUEZAR ROSADO SOMONTANO,"4,25"
100107,VICHY CAT. 1/4 - 30CL. (24),"28,68"
100109,MELOCOTON TILFORD 70 cl,"4,83"
100110,TEQUILA CUERVO 75 cl,"13,60"
1001100,FINI CEREZA GRAJEADA ENV 1 KG.,"8,86"
1001101,FINI FRESA SALVAJE  KG.,"5,26"
1001102,FINI LAGRIMA AZUCAR 1 KG.,"5,26"
1001103,FINI MINI BESO FRESA AZ 20 GR.,"0,17"
1001104,FINI MORA GRANO 1 KG.,"6,03"
1001105,FINI MINI OSO AZ 20 GR.,"0,17"
1001106,FINI CINEMA MIX PICA 12X90 GR.,"7,51"
1001107,FINI SOUR LITTLE MIX 12X90 GR.,"7,51"
1001108,FINI LITTLE MIX 12X90 GR.,"7,51"
1001109,FINI PARTY MIX 12X90 GR.,"7,59"
100111,BOMBAY 70 cl,"10,76"
1001110,FINITRONC CORAZON 125 UD.,"6,03"
1001111,FINI BOLA GOLF 125 UD.,"6,09"
1001112,FINILETA CARETOS FRESA 170 UD.,"12,63"
1001113,FINI SOUR BOOOM MIX 12X90 G,"7,51"
1001114,FINI DELIJELLY 1KG.,"6,39"
100112,WHISKY PECHE YACHTING 70 cl,"6,99"
100113,JOHNNIE WALKER ETIQ.ROJA 70 cl,"12,04"
100114,SIDRA ASTURIANA TRABANCO,"2,46"
100115,REMY MARTIN 70CL COGNAC,"37,84"
100116,NATILLA PASCUAL VAINILLA,"13,45"
100117,NATILLA PASCUAL CHOCO,"13,45"
100118,FLAN PASCUAL HUEVO,"13,82"
100119,BAINES ORO 30º,"15,83"
100121,MOLIDO GOURMET 100% ARABICA-2207,"5,39"
100127,FLAN PASCUAL VAINILLA,"10,30"
100128,SOBAOS 48 UN.,"11,69"
100139,PIMIENTOS PIQUILLO 3KG.,"16,47"
100142,VASO CHUPITO (1000 UD) - 1469,"41,86"
100143,BOLSA HIELO (5),"10,11"
100145,BORSAO TRES PICOS 2021 CAMPO DE BORJA,"9,18"
100151,KIT KAT NESTLE 45 GR (36),"24,05"
100152,KINDER BUENO (30) FERRERO-61205,"30,67"
100153,KINDER JOY (VERANO) 72U FERRERO - 61289,"90,00"
100160,KINDER BUENO WHITE 30 UD FERRERO - 61375,"27,26"
100170,CROISSANT RELLENO 65 GR (15) 27007,"10,36"
100178,KINDER JOY 36 UD. - 61572,"47,75"
100180,MAGDALENA CASERA 2KG 25UN - 94709,"10,66"
100184,MARTIRELO PATATA FRITA 50 GR (25),"17,55"
100187,MINI MAGD RELLENA CHOCO 120UN (94565),"8,10"
100190,GALLETA MARIA LECHE GULLON (144UND),"17,70"
100191,KINDER (INVIERNO) 72UD - 61204,"83,25"
100195,VALENCIANA 2UND. MAGDALENAS (33 PACK),"13,92"
100196,KINDER SORPRESA+K.B.+HAPPY HIPPO,"106,20"
100197,CHOCOLATINAS TRAPA SABORES-1428,"10,57"
100198,CUENCO FINI,"0,00"
100199,FINI MIX GOMA PICA 1 KG.,"5,26"
100208,AQUARIUS LIMON (24UD),"20,54"
100209,HIELO PICADO SACO,"11,81"
100211,BITTER CINZANO (24UD),"42,22"
100213,AQUARIUS NARANJA (24UD),"20,54"
100215,COCA COLA LATA 33cl. (24UN),"18,12"
100216,SAN PELLEGRINO 25cl. (24UD),"19,18"
100217,SAN PELLEGRINO 50cl. (24UD),"22,82"
100222,COCA COLA ZERO LATA (24UD),"18,12"
100242,SIDRA THE GOOD CIDER 1L (12),"19,52"
100244,COCA-COLA PET 1L C12,"14,16"
100250,BAG BOX 15L MONTEGOZA TINTO,"18,38"
100251,DISTG KAS NARANJA 2 L. (6),"8,66"
100252,COCA COLA 1.25L (6 UND),"6,40"
100256,COCA COLA 2L.,"10,45"
100257,"COCA COLA 33CL ""0,0"" ZERO ZERO","16,22"
100259,BEBIDA ENERGETICA,"18,72"
100260,COCA COLA 2LT SIN CAFEINA,"10,45"
100261,FANTA NARANJA 1.25L,"6,32"
100263,"AQUARIUS NARANJA 1,5 L.","10,37"
100264,COCA COLA 2L ZERO ZERO,"10,45"
100265,AQUARIUS LIMON BOT. 1.5LT,"10,37"
100266,FUZE TEA LIMON LATA 24UN,"15,03"
100267,VICHY CAT. 1L. NR (12),"18,75"
100300,GRANINI NARANJA PET 1 L. (6),"22,69"
100301,GRANINI MELOCOTON PET 1 L. (6),"17,97"
100302,GRANINI PIÑA PET 1 L. (6),"17,97"
100303,GRANINI NARANJA 200cc. (24),"31,55"
100304,GRANINI PIÑA 200cc. (24),"31,55"
100305,GRANINI MELOCOTON 200cc. (24),"31,55"
100306,GRANINI A+C+E 200cc. (24),"31,55"
100307,GRANINI TOMATE 200cc. (24),"31,55"
100308,GRANINI A+C+E PET 1 L. (6),"20,64"
100309,GRANINI TOMATE PET 1 L. (6),"21,29"
100310,GRANINI MELOCOTON PET 33 CL.  (12),"16,37"
100311,GRANINI NARANJA PET 33  CL. (12),"19,18"
100312,GRANINI PIÑA PET 33 CL. (12),"16,37"
100313,GRANINI A+C+E PET 33 CL. (12),"16,37"
100314,GRANINI COCTEL FRUTAS 200cc. (24),"31,55"
100315,GRANINI PERA 200cc. (24),"31,55"
100318,GRANINI PERA PET 1 L. (6),"17,97"
100319,GRANINI MANZANA 200cc. (24),"31,55"
100320,GRANINI PLATANO 200cc. (24),"31,55"
100321,GRANINI ARANDANOS PET 1L. (6),"20,64"
100322,GRANINI ARANDANOS 200cc. (24),"31,55"
100323,GRANINI POMELO PET 1 L. (6),"17,97"
100324,GRANINI GRANADA PET 1 L. (6),"17,97"
100327,GRANINI PLATANO PET 1 L. (6),"17,97"
100328,GRANINI MANZANA PET 1 L. (6),"21,28"
100329,GRANINI LIMONADA 200cc. (24),"31,55"
100338,GRANINI COCTEL FRUTAS PET 1 L. (6),"20,64"
100339,GRANINI MANZANA PET 33 CL.  (12),"16,37"
100343,LUZ BALIZA SOS GRANINI,"0,00"
100344,GRANINI ARANDANOS PET 33 CL. (12),"16,37"
100345,GRANINI PET 1.5L NARANJA (6),"28,90"
100346,GRANINI MINIBRICK NARANJA 20CL (30),"21,18"
100347,GRANINI LIMONADA PET 1 L. (6),"13,07"
100348,GRANINI NARANJA-MANGO PET L.,"17,97"
100349,GRANINI PET 1.5L MELOCOTON (6),"24,44"
100350,GRANINI COCO-PIÑA PET 1L (6),"17,98"
100351,GRANINI PET 1.5L PIÑA (6),"24,44"
100352,GRANINI PET 1.5L A+C+E (6),"24,44"
100353,GRANINI TOMATE PET 33 (12),"16,37"
100354,GRANINI LIMONADA PET 33CL (12),"16,37"
100355,GRANINI GUAYABA-PITAHAYA 200cc (24),"31,55"
100356,GRANINI GUAYABA-PITAHAYA 1L (6),"17,98"
100357,GRANINI GUAYABA-PITAHAYA PET 33CL (12),"16,37"
100401,YAMBO DESCAF EL CRIOLLO (80)-1700,"26,65"
100403,CAFE ETIQU NEGRA SELEC. ORO KG-2114,"25,43"
100404,CAFE EXTRA MEZCLA 85/15 KG-2107,"21,54"
100405,MEZCLA SELECTA 5* 85/15  KG-2109,"19,95"
100406,MOLIDO MEZCLA 80/20 EL CRIOLLO 250 GR-2201,"3,54"
100407,SELECTA 100% NATURAL GRANO KG-2103,"20,14"
100408,CAFE EXTRA 100% NATURAL KG-2101,"22,45"
100409,DESCAF. SOLUBLE EL CRIOLLO (100)-1200,"12,08"
100410,DESCAF. GRANO KG CRIOLLO-2111,"23,31"
1004102,CAFE ECOLOGICO DOBLE-LABEL KG-2141,"25,59"
1004104,CAFE GRANO EL SALVADOR 250 GRS-470,"6,63"
1004106,CAFE GRANO COLOMBIA PICO CRISTOBAL-491,"6,07"
1004107,DESCAF. GRANO AL AGUA 250 G.- 436,"6,11"
1004110,CAFE GRANO MEZCLA TRADICION 250 GR.-430,"5,40"
1004111,MOLIDO BRASIL 250 GR.-2206,"4,90"
1004113,MOLIDO COLOMBIA 250 GR.-2211,"5,02"
1004114,CAFE GRANO BLEND INSIGNIA 250 GR.-434,"6,07"
1004115,CAFE GRANO BRASIL CERRADO 250 GR.- 449,"5,20"
1004116,CAFE GRANO KENYA 250 GR. - 480,"9,75"
1004117,JENGIBRE LIMON (20) - 1514,"5,91"
1004118,CAFE GRANO INDIA MALABAR 250 GR.-445,"5,72"
100412,PLATINUM 3 KG EL CRIOLLO-2115,"89,08"
1004120,CHOCOLATE A LA TAZA (40)-1407,"13,15"
1004124,RISTRETTO CAPSULAS COMP. (10)-2359,"2,96"
1004125,COLOMBIA CAPSULAS COMP. (10)-2360,"3,13"
